,Saves   ,Penalties saved   ,Punches   ,High Claims   ,Catches   ,Sweeper clearances   ,Throw outs   ,Goal Kicks   ,Clean sheets   ,Goals conceded   ,Errors leading to goal   ,Own goals   ,Yellow cards   ,Red cards   ,Fouls   ,Goals   ,Assists   ,Passes   ,Passes per match   ,Accurate long balls   ,Appearances,Tackles   ,Tackle success %   ,Last man tackles   ,Blocked shots   ,Interceptions   ,Clearances   ,Headed Clearance   ,Clearances off line   ,Recoveries   ,Duels won   ,Duels lost   ,Successful 50/50s   ,Aerial battles won   ,Aerial battles lost   ,Big chances created   ,Crosses   ,Cross accuracy %   ,Through balls   ,Offsides   ,Headed goals   ,Goals with right foot   ,Goals with left foot   ,Hit woodwork   ,Goals per match   ,Penalties scored   ,Freekicks scored   ,Shots   ,Shots on target   ,Shooting accuracy %   ,Big chances missed   
Ørjan Nyland,15,0,1,3,2,0,29,53,1,12,0,0,0,0,0,0,0,152,21.71,35,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jed Steer,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2.00,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lovre Kalinic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Bunn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matija Sarkic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neil Taylor,,,,,,,,,2,25,0,0,2,0,8,0,0,419,29.93,15,14,16,69%,1,1,20,27,8,0,56,33,34,2,9,15,1,9,11%,0,0,0,0,0,0,,,,,,,
Axel Tuanzebe,,,,,,,,,0,3,1,0,0,0,3,0,0,136,27.20,4,5,2,100%,0,0,5,4,3,0,15,8,20,0,3,12,0,1,0%,0,0,0,0,0,0,,,,,,,
James Chester,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,
Alan Hutton,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,
Tommy Elphick,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,
Ahmed El Mohamady,,,,,,,,,2,28,0,0,1,0,13,1,1,498,27.67,33,18,19,47%,0,1,13,22,10,0,73,60,51,7,30,21,3,58,33%,0,2,1,0,0,0,,,,,,,
Kortney Hause,,,,,,,,,,,1,,3,0,24,1,0,799,44.39,62,18,21,43%,,2,20,94,51,,109,138,77,9,100,35,1,0,0%,1,1,0,1,0,0,0.06,0,0,20,3,15%,3
Dominic Revan,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,
Tyrone Mings,,,,,,,,,6,53,2,0,7,0,20,2,2,"1,384",41.94,117,33,15,73%,0,0,30,189,83,3,201,105,70,12,67,46,1,7,14%,0,2,0,0,2,0,,,,,,,
Glenn Whelan,,,,,,,,,,,0,,0,0,0,0,0,0,0.00,0,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.00,0,0,0,0,0%,0
John McGinn,,,,,,,,,,,0,,3,0,37,3,3,715,25.54,82,28,53,66%,,12,25,15,6,,151,191,177,53,19,31,3,66,21%,3,0,0,0,3,2,0.11,0,0,55,20,36%,4
Henri Lansbury,,,,,,,,,,,0,,0,0,4,0,0,82,8.20,7,10,6,33%,,0,0,2,0,,10,9,15,0,2,6,0,1,0%,0,0,0,0,0,0,0.00,0,0,2,0,0%,0
Jack Grealish,,,,,,,,,,,1,,8,0,34,8,6,"1,371",38.08,81,36,29,66%,,18,22,10,4,,188,289,182,73,22,27,8,141,20%,2,4,0,5,3,2,0.22,0,0,73,23,32%,5
Tom Carroll,,,,,,,,,,,0,,0,0,0,0,0,0,0.00,0,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.00,0,0,0,0,0%,0
Conor Hourihane,,,,,,,,,,,0,,4,0,14,3,5,612,22.67,20,27,16,63%,,13,9,26,9,,72,53,48,4,13,9,8,112,25%,1,4,0,0,3,1,0.11,0,1,29,10,34%,1
Mile Jedinak,,,,,,,,,,,0,,0,0,0,0,0,0,0.00,0,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.00,0,0,0,0,0%,0
Keinan Davis,,,,,,,,,,,,,0,0,12,0,0,136,7.56,,18,1,,,2,0,3,2,,,,,,,,0,2,,,3,0,0,0,0,0.00,0,0,17,5,29%,3
Andre Green,,,,,,,,,,,0,,0,0,0,0,0,0,0.00,0,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.00,0,0,0,0,0%,0
Birkir Bjarnason,,,,,,,,,,,0,,0,0,0,0,0,0,0.00,0,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.00,0,0,0,0,0%,0
Albert Adomah,,,,,,,,,,,0,,0,0,0,0,0,0,0.00,0,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.00,0,0,0,0,0%,0
Jacob Ramsey,,,,,,,,,,,0,,0,0,0,0,0,0,0.00,0,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.00,0,0,0,0,0%,0
Tammy Abraham,,,,,,,,,,,,,2,0,17,15,3,407,11.97,,34,8,,,14,6,27,23,,,,,,,,3,11,,,23,3,12,0,3,0.44,0,0,88,40,45%,22
Jonathan Kodjia,,,,,,,,,,,,,1,0,1,0,0,27,4.50,,6,0,,,1,0,1,1,,,,,,,,0,0,,,0,0,0,0,0,0.00,0,0,2,0,0%,0
Jota,,,,,,,,,,,0,,0,0,6,0,1,93,9.30,6,10,3,33%,,4,3,5,1,,26,13,25,7,1,2,1,2,0%,2,0,0,0,0,0,0.00,0,0,6,1,17%,0
Wesley,,,,,,,,,,,,,3,0,43,5,1,367,17.48,,21,15,,,8,4,23,18,,,,,,,,1,7,,,14,0,5,0,1,0.24,0,0,35,18,51%,5
Frédéric Guilbert,,,,,,,,,2,36,0,0,7,0,36,0,2,749,29.96,40,25,74,58%,0,2,49,62,26,0,104,164,172,23,48,68,1,91,16%,0,2,0,0,0,0,,,,,,,
James Bree,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,
Mitchell Clark,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,
Jake Doyle-Hayes,,,,,,,,,,,0,,0,0,0,0,0,0,0.00,0,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.00,0,0,0,0,0%,0
Callum O'Hare,,,,,,,,,,,0,,0,0,0,0,0,0,0.00,0,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.00,0,0,0,0,0%,0
Scott Hogan,,,,,,,,,,,,,0,0,0,0,0,0,0.00,,0,0,,,0,0,0,0,,,,,,,,0,0,,,0,0,0,0,0,0.00,0,0,0,0,0%,0
Rushian Marcus Amari Hepburn-Murphy,,,,,,,,,,,,,0,0,0,0,0,0,0.00,,0,0,,,0,0,0,0,,,,,,,,0,0,,,0,0,0,0,0,0.00,0,0,0,0,0%,0
Harry McKirdy,,,,,,,,,,,,,0,0,0,0,0,0,0.00,,0,0,,,0,0,0,0,,,,,,,,0,0,,,0,0,0,0,0,0.00,0,0,0,0,0%,0
Ross McCormack,,,,,,,,,,,,,0,0,0,0,0,0,0.00,,0,0,,,0,0,0,0,,,,,,,,0,0,,,0,0,0,0,0,0.00,0,0,0,0,0%,0
Matt Targett,,,,,,,,,4,40,0,0,4,0,27,1,2,947,33.82,49,28,52,56%,0,1,56,68,31,0,122,113,121,8,37,38,8,81,27%,3,0,0,0,1,0,,,,,,,
Anwar El Ghazi,,,,,,,,,,,0,,3,0,20,4,4,479,14.09,15,34,20,55%,,11,13,12,6,,75,97,151,29,31,57,4,107,24%,1,12,0,4,0,2,0.12,1,0,52,20,38%,7
Ezri Konsa Ngoyo,,,,,,,,,4,39,1,0,3,0,17,1,2,773,30.92,34,25,18,50%,0,3,25,66,23,0,100,104,79,7,49,46,2,13,46%,0,1,0,1,0,0,,,,,,,
Björn Engels,,,,,,,,,2,32,1,0,1,0,5,1,0,647,38.06,49,17,11,55%,0,0,28,85,42,0,53,71,39,1,55,27,0,2,50%,0,1,1,0,0,0,,,,,,,
Trézéguet,,,,,,,,,,,0,,2,1,35,6,1,364,10.71,9,34,38,42%,,22,25,14,9,,79,128,166,30,29,44,0,67,16%,0,6,0,5,1,2,0.18,0,0,50,17,34%,3
Douglas Luiz,,,,,,,,,,,1,,8,0,51,3,2,"1,208",33.56,92,36,46,52%,,16,36,47,18,,205,147,162,35,30,36,3,24,25%,4,0,0,2,1,0,0.08,0,0,38,12,32%,2
Tom Heaton,68,0,6,10,7,7,99,195,4,35,0,1,0,0,1,0,0,527,26.35,118,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marvelous Nakamba,,,,,,,,,,,1,,5,0,26,0,0,782,26.97,24,29,55,51%,,0,39,32,7,,155,115,110,14,23,29,0,4,0%,0,0,0,0,0,0,0.00,0,0,7,1,14%,0
Aaron Tshibola,,,,,,,,,,,0,,0,0,0,0,0,0,0.00,0,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.00,0,0,0,0,0%,0
Cameron Archer,,,,,,,,,,,,,0,0,0,0,0,0,0.00,,0,0,,,0,0,0,0,,,,,,,,0,0,,,0,0,0,0,0,0.00,0,0,0,0,0%,0
Indiana Vassilev,,,,,,,,,,,,,0,0,0,0,0,11,2.75,,4,0,,,0,0,0,0,,,,,,,,0,0,,,2,0,0,0,0,0.00,0,0,1,0,0%,0
Daniel Drinkwater,,,,,,,,,,,1,,1,0,8,0,0,192,38.40,10,5,7,57%,,0,6,5,2,,36,9,36,1,0,6,0,1,0%,0,0,0,0,0,0,0.00,0,0,2,0,0%,0
Pepe Reina,33,1,3,5,2,6,51,94,2,20,1,0,1,0,1,0,0,345,28.75,101,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mbwana Samatta,,,,,,,,,,,,,1,0,9,1,0,172,12.29,,14,6,,,5,1,6,2,,,,,,,,1,3,,,8,1,0,0,0,0.07,0,0,17,3,18%,3
Borja Bastón,,,,,,,,,,,,,0,0,0,0,0,6,3.00,,2,1,,,0,0,0,0,,,,,,,,0,0,,,0,0,0,0,0,0.00,0,0,0,0,0%,0
Kaine Hayden,,,,,,,,,,,0,,0,0,0,0,0,0,0.00,0,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.00,0,0,0,0,0%,0
