,Saves   ,Penalties saved   ,Punches   ,High Claims   ,Catches   ,Sweeper clearances   ,Throw outs   ,Goal Kicks   ,Clean sheets   ,Goals conceded   ,Errors leading to goal   ,Own goals   ,Yellow cards   ,Red cards   ,Fouls   ,Goals   ,Assists   ,Passes   ,Passes per match   ,Accurate long balls   ,Appearances,Tackles   ,Tackle success %   ,Last man tackles   ,Blocked shots   ,Interceptions   ,Clearances   ,Headed Clearance   ,Clearances off line   ,Recoveries   ,Duels won   ,Duels lost   ,Successful 50/50s   ,Aerial battles won   ,Aerial battles lost   ,Big chances created   ,Crosses   ,Cross accuracy %   ,Through balls   ,Offsides   ,Headed goals   ,Goals with right foot   ,Goals with left foot   ,Hit woodwork   ,Goals per match   ,Penalties scored   ,Freekicks scored   ,Shots   ,Shots on target   ,Shooting accuracy %   ,Big chances missed   
Mat Ryan,117,0,11,16,5,8,255,274,9,54,0,0,0,0,0,0,0,"1,220",32.11,260,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jason Steele,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Button,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert Sánchez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bruno,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,
Gaëtan Bong,,,,,,,,,0,3,0,0,0,0,0,0,0,27,6.75,1,4,1,0%,0,0,0,0,0,0,3,3,5,1,0,3,0,6,17%,0,0,0,0,0,0,,,,,,,
Shane Duffy,,,,,,,,,2,18,0,0,2,0,14,1,0,641,33.74,44,19,18,50%,1,1,21,70,48,0,56,98,48,3,70,26,0,1,100%,0,0,0,1,0,0,,,,,,,
Lewis Dunk,,,,,,,,,9,50,0,0,9,0,19,3,3,"2,251",62.53,164,36,40,60%,1,5,55,123,53,1,250,161,99,5,99,52,1,1,0%,1,1,1,2,0,1,,,,,,,
Leon Balogun,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,
Martín Montoya,,,,,,,,,6,32,0,0,5,0,27,0,1,"1,004",37.19,48,27,57,51%,1,2,24,31,14,0,87,103,102,10,22,19,3,44,30%,1,4,0,0,0,0,,,,,,,
Bernardo,,,,,,,,,0,17,0,0,1,0,3,0,0,330,23.57,12,14,27,59%,0,3,6,20,12,0,49,69,30,8,31,8,3,17,18%,0,4,0,0,0,0,,,,,,,
Dan Burn,,,,,,,,,9,42,0,0,5,0,32,0,0,"1,569",46.15,45,34,67,63%,0,3,42,122,76,0,156,239,157,19,141,53,2,51,20%,3,3,0,0,0,1,,,,,,,
Leo Ostigard,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,
Dale Stephens,,,,,,,,,,,0,,8,0,42,0,1,"1,675",50.76,110,33,73,60%,,6,58,39,25,,230,108,129,10,19,22,2,4,0%,3,0,0,0,0,0,0.00,0,0,19,2,11%,0
Beram Kayal,,,,,,,,,,,0,,0,0,0,0,0,0,0.00,0,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.00,0,0,0,0,0%,0
Yves Bissouma,,,,,,,,,,,0,,4,0,31,1,0,619,28.14,35,22,49,78%,,2,21,21,9,,105,112,108,32,17,16,0,6,17%,3,0,0,1,0,1,0.05,0,0,16,7,44%,0
Anthony Knockaert,,,,,,,,,,,0,,0,0,0,0,0,0,0.00,0,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.00,0,0,0,0,0%,0
Pascal Groß,,,,,,,,,,,0,,4,0,23,2,4,899,31.00,42,29,36,36%,,9,9,7,2,,83,73,104,6,18,29,10,146,32%,5,8,0,2,0,1,0.07,0,1,29,9,31%,0
