,Saves   ,Penalties saved   ,Punches   ,High Claims   ,Catches   ,Sweeper clearances   ,Throw outs   ,Goal Kicks   ,Clean sheets   ,Goals conceded   ,Errors leading to goal   ,Own goals   ,Yellow cards   ,Red cards   ,Fouls   ,Goals   ,Assists   ,Passes   ,Passes per match   ,Accurate long balls   ,Appearances,Tackles   ,Tackle success %   ,Last man tackles   ,Blocked shots   ,Interceptions   ,Clearances   ,Headed Clearance   ,Clearances off line   ,Recoveries   ,Duels won   ,Duels lost   ,Successful 50/50s   ,Aerial battles won   ,Aerial battles lost   ,Big chances created   ,Crosses   ,Cross accuracy %   ,Through balls   ,Offsides   ,Headed goals   ,Goals with right foot   ,Goals with left foot   ,Hit woodwork   ,Goals per match   ,Penalties scored   ,Freekicks scored   ,Shots   ,Shots on target   ,Shooting accuracy %   ,Big chances missed   
Julian Speroni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wayne Hennessey,16,0,2,0,1,1,7,39,0,8,0,0,0,0,0,0,0,97,32.33,35,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucas Perri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vicente Guaita,110,0,22,18,10,10,173,274,10,42,2,1,1,0,0,0,0,884,25.26,220,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Tupper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joel Ward,,,,,,,,,7,36,1,0,4,0,24,0,0,959,33.07,44,29,69,61%,0,1,48,82,49,0,116,157,87,8,51,29,0,36,14%,0,0,0,0,0,1,,,,,,,
Patrick van Aanholt,,,,,,,,,8,38,0,1,0,0,9,3,2,"1,216",41.93,30,29,43,53%,0,9,45,44,22,1,176,83,88,16,17,16,5,92,34%,2,2,0,0,3,1,,,,,,,
James Tomkins,,,,,,,,,3,23,0,0,5,0,14,1,1,671,37.28,46,18,29,59%,0,0,21,99,42,0,82,100,53,1,60,32,0,1,0%,1,1,1,0,0,0,,,,,,,
Scott Dann,,,,,,,,,5,14,0,0,0,0,5,0,1,582,36.38,37,16,8,50%,0,2,14,64,29,0,73,52,44,5,39,32,0,2,50%,0,0,0,0,0,1,,,,,,,
Mamadou Sakho,,,,,,,,,0,21,1,0,1,1,3,0,0,538,38.43,28,14,7,71%,0,0,20,44,21,0,67,30,28,4,17,17,0,0,0%,0,0,0,0,0,0,,,,,,,
Jeffrey Schlupp,,,,,,,,,1,16,0,0,2,0,17,3,1,314,18.47,9,17,18,50%,0,6,13,10,6,0,42,63,77,13,20,24,2,9,22%,1,1,0,1,2,0,,,,,,,
Pape Souaré,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,
Aaron Wan-Bissaka,,,,,,,,,11,33,0,0,8,0,21,0,4,"1,651",47.17,33,35,129,62%,0,2,66,58,26,0,179,226,148,54,24,35,4,103,14%,2,1,0,0,0,0,,,,,,,
Martin Kelly,,,,,,,,,5,16,1,0,0,0,8,0,1,570,30.00,32,19,23,78%,0,0,16,74,33,0,71,61,58,5,33,25,1,20,30%,0,0,0,0,0,0,,,,,,,
Sam Woods,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,
Luka Milivojevic,,,,,,,,,,,0,,12,0,50,3,1,"1,433",46.23,104,31,61,52%,,10,42,37,14,,179,128,144,7,35,28,1,144,22%,3,1,0,3,0,0,0.10,2,1,31,9,29%,0
Max Meyer,,,,,,,,,,,0,,1,0,6,0,0,201,11.82,3,17,19,58%,,2,7,2,0,,27,43,47,6,2,9,0,9,11%,0,2,0,0,0,0,0.00,0,0,9,2,22%,0
Cheikhou Kouyaté,,,,,,,,,,,0,,4,0,33,1,1,851,24.31,23,35,67,48%,,4,43,55,32,,139,201,163,17,91,70,1,17,12%,1,2,0,1,0,0,0.03,0,0,24,4,17%,1
Andros Townsend,,,,,,,,,,,1,,0,0,9,1,1,393,16.38,11,24,34,62%,,4,15,6,2,,97,102,92,38,5,11,3,67,24%,1,1,0,0,1,0,0.04,0,0,12,5,42%,0
James McArthur,,,,,,,,,,,0,,6,0,57,0,3,"1,428",38.59,62,37,88,58%,,8,60,47,17,,185,195,250,29,45,75,3,44,16%,4,4,0,0,0,0,0.00,0,0,28,6,21%,2
Bakary Sako,,,,,,,,,,,0,,0,0,0,0,0,0,0.00,0,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.00,0,0,0,0,0%,0
Luke Dreher,,,,,,,,,,,0,,0,0,0,0,0,0,0.00,0,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.00,0,0,0,0,0%,0
Giovanni McGregor,,,,,,,,,,,0,,0,0,0,0,0,0,0.00,0,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.00,0,0,0,0,0%,0
Jairo Riedewald,,,,,,,,,,,0,,0,0,3,0,0,329,19.35,16,17,14,71%,,2,17,19,8,,47,27,22,8,3,5,0,6,17%,1,0,0,0,0,0,0.00,0,0,3,0,0%,0
Wilfried Zaha,,,,,,,,,,,,,5,0,48,4,3,"1,094",28.79,,38,43,,,22,18,2,2,,,,,,,,4,68,,,16,0,2,2,1,0.11,0,0,61,17,28%,5
Jordan Ayew,,,,,,,,,,,,,6,0,59,9,2,814,22.00,,37,48,,,14,15,20,15,,,,,,,,4,25,,,9,1,7,1,1,0.24,0,0,58,24,41%,5
Christian Benteke,,,,,,,,,,,,,4,1,25,2,1,337,14.04,,24,9,,,7,4,28,20,,,,,,,,4,5,,,12,0,2,0,3,0.08,0,0,41,19,46%,3
Connor Wickham,,,,,,,,,,,,,0,0,4,1,1,46,7.67,,6,1,,,0,1,0,0,,,,,,,,1,0,,,1,0,1,0,0,0.17,0,0,3,2,67%,1
Michy Batshuayi,,,,,,,,,,,,,0,0,4,1,1,78,4.88,,16,4,,,4,0,1,1,,,,,,,,0,0,,,7,0,0,1,0,0.06,0,0,15,2,13%,4
Dion Henry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sullay Kaikai,,,,,,,,,,,0,,0,0,0,0,0,0,0.00,0,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.00,0,0,0,0,0%,0
Nya Kirby,,,,,,,,,,,0,,0,0,0,0,0,0,0.00,0,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.00,0,0,0,0,0%,0
