,Saves   ,Penalties saved   ,Punches   ,High Claims   ,Catches   ,Sweeper clearances   ,Throw outs   ,Goal Kicks   ,Clean sheets   ,Goals conceded   ,Errors leading to goal   ,Own goals   ,Yellow cards   ,Red cards   ,Fouls   ,Goals   ,Assists   ,Passes   ,Passes per match   ,Accurate long balls   ,Appearances,Tackles   ,Tackle success %   ,Last man tackles   ,Blocked shots   ,Interceptions   ,Clearances   ,Headed Clearance   ,Clearances off line   ,Recoveries   ,Duels won   ,Duels lost   ,Successful 50/50s   ,Aerial battles won   ,Aerial battles lost   ,Big chances created   ,Crosses   ,Cross accuracy %   ,Through balls   ,Offsides   ,Headed goals   ,Goals with right foot   ,Goals with left foot   ,Hit woodwork   ,Goals per match   ,Penalties scored   ,Freekicks scored   ,Shots   ,Shots on target   ,Shooting accuracy %   ,Big chances missed   
Claudio Bravo,8,0,2,0,1,0,17,28,1,7,0,0,0,0,0,0,0,119,29.75,22,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ederson,68,0,8,12,3,19,178,139,16,28,3,0,3,1,2,0,0,899,25.69,124,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Grimshaw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arijanet Muric,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyle Walker,,,,,,,,,10,24,0,0,5,0,27,1,4,"1,939",66.86,125,29,28,64%,0,5,28,35,15,1,144,96,99,23,30,33,1,54,19%,1,3,0,0,1,0,,,,,,,
Danilo,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,
Vincent Kompany,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,
John Stones,,,,,,,,,3,16,0,0,0,0,5,0,0,"1,035",64.69,52,16,16,63%,0,1,9,31,16,0,69,66,30,5,44,24,0,0,0%,0,1,0,0,0,0,,,,,,,
Aymeric Laporte,,,,,,,,,3,5,0,0,1,0,9,1,0,"1,148",76.53,59,15,13,46%,0,1,20,26,10,0,70,48,28,2,25,13,0,0,0%,0,0,1,0,0,0,,,,,,,
Eliaquim Mangala,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,
Benjamin Mendy,,,,,,,,,5,13,2,0,3,0,12,0,2,"1,103",58.05,32,19,18,83%,0,7,16,17,9,0,83,53,74,19,15,19,2,86,26%,0,1,0,0,0,1,,,,,,,
Nicolás Otamendi,,,,,,,,,6,21,1,0,3,0,21,2,0,"1,533",63.88,60,24,28,50%,0,2,21,73,33,0,84,94,73,3,61,37,0,0,0%,0,0,1,1,0,0,,,,,,,
Philippe Sandler,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,
Eric García,,,,,,,,,3,7,0,0,1,0,9,0,0,728,56.00,26,13,6,17%,0,0,18,31,14,0,38,25,34,6,11,20,0,1,100%,0,0,0,0,0,0,,,,,,,
Cameron Humphreys-Grant,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,
Ilkay Gündogan,,,,,,,,,,,0,,7,0,16,2,1,"1,953",63.00,106,31,27,59%,,14,31,13,6,,137,70,80,18,11,15,3,30,30%,7,2,0,2,0,1,0.06,1,0,33,8,24%,5
Kevin De Bruyne,,,,,,,,,,,0,,3,0,26,13,20,"1,907",54.49,121,35,45,53%,,29,18,23,14,,136,138,153,48,17,17,33,304,25%,32,3,0,11,2,6,0.37,2,1,99,31,31%,3
Fabian Delph,,,,,,,,,,,1,,3,1,18,0,0,781,48.81,58,16,26,46%,,3,15,16,9,,94,69,51,21,15,9,0,8,63%,1,0,0,0,0,0,0.00,0,0,3,0,0%,0
