,Saves   ,Penalties saved   ,Punches   ,High Claims   ,Catches   ,Sweeper clearances   ,Throw outs   ,Goal Kicks   ,Clean sheets   ,Goals conceded   ,Errors leading to goal   ,Own goals   ,Yellow cards   ,Red cards   ,Fouls   ,Goals   ,Assists   ,Passes   ,Passes per match   ,Accurate long balls   ,Appearances,Tackles   ,Tackle success %   ,Last man tackles   ,Blocked shots   ,Interceptions   ,Clearances   ,Headed Clearance   ,Clearances off line   ,Recoveries   ,Duels won   ,Duels lost   ,Successful 50/50s   ,Aerial battles won   ,Aerial battles lost   ,Big chances created   ,Crosses   ,Cross accuracy %   ,Through balls   ,Offsides   ,Headed goals   ,Goals with right foot   ,Goals with left foot   ,Hit woodwork   ,Goals per match   ,Penalties scored   ,Freekicks scored   ,Shots   ,Shots on target   ,Shooting accuracy %   ,Big chances missed   
David de Gea,96,0,9,9,11,3,153,268,13,36,3,0,2,0,0,0,0,786,20.68,96,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lee Grant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sergio Romero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matej Kovar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victor Lindelöf,,,,,,,,,12,32,0,1,6,0,22,1,0,"2,094",59.83,75,35,29,52%,0,1,26,122,58,0,215,135,78,4,96,50,0,2,0%,2,0,1,0,0,0,,,,,,,
Eric Bailly,,,,,,,,,1,1,0,0,0,0,2,0,0,78,19.50,4,4,0,0%,0,0,4,7,3,0,9,9,3,1,8,0,0,0,0%,0,0,0,0,0,0,,,,,,,
Phil Jones,,,,,,,,,0,3,1,0,0,0,3,0,0,97,48.50,3,2,2,100%,0,0,2,9,4,0,11,17,9,1,13,7,0,1,0%,0,0,0,0,0,0,,,,,,,
Chris Smalling,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,
Marcos Rojo,,,,,,,,,0,2,0,0,1,0,2,0,0,46,15.33,0,3,3,33%,0,0,0,6,4,0,7,6,6,0,2,2,0,3,0%,0,0,0,0,0,0,,,,,,,
Ashley Young,,,,,,,,,2,10,0,0,5,0,14,0,0,571,47.58,27,12,14,50%,0,0,11,22,12,0,59,50,47,7,14,7,2,62,35%,0,0,0,0,0,0,,,,,,,
Diogo Dalot,,,,,,,,,0,1,0,0,0,0,1,0,0,51,12.75,1,4,3,67%,0,0,2,1,1,0,5,6,7,0,3,1,0,3,0%,0,0,0,0,0,0,,,,,,,
Luke Shaw,,,,,,,,,7,15,0,0,7,0,23,0,0,"1,143",47.63,13,24,34,53%,0,4,24,51,30,0,92,96,72,22,30,23,1,38,24%,1,4,0,0,0,0,,,,,,,
Luis Antonio Valencia,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,
Matteo Darmian,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,
