,Saves   ,Penalties saved   ,Punches   ,High Claims   ,Catches   ,Sweeper clearances   ,Throw outs   ,Goal Kicks   ,Clean sheets   ,Goals conceded   ,Errors leading to goal   ,Own goals   ,Yellow cards   ,Red cards   ,Fouls   ,Goals   ,Assists   ,Passes   ,Passes per match   ,Accurate long balls   ,Appearances,Tackles   ,Tackle success %   ,Last man tackles   ,Blocked shots   ,Interceptions   ,Clearances   ,Headed Clearance   ,Clearances off line   ,Recoveries   ,Duels won   ,Duels lost   ,Successful 50/50s   ,Aerial battles won   ,Aerial battles lost   ,Big chances created   ,Crosses   ,Cross accuracy %   ,Through balls   ,Offsides   ,Headed goals   ,Goals with right foot   ,Goals with left foot   ,Hit woodwork   ,Goals per match   ,Penalties scored   ,Freekicks scored   ,Shots   ,Shots on target   ,Shooting accuracy %   ,Big chances missed   
Robert Elliot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin Dubravka,140,0,18,21,9,9,119,340,11,58,5,0,0,0,0,0,0,969,25.50,300,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karl Darlow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nathan Harker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Freddie Woodman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ciaran Clark,,,,,,,,,4,14,0,0,3,0,9,2,0,322,23.00,28,14,20,60%,0,1,11,79,39,0,46,62,54,6,29,38,0,0,0%,0,0,1,0,1,0,,,,,,,
Paul Dummett,,,,,,,,,3,20,0,1,2,0,4,0,0,449,28.06,25,16,27,63%,0,0,23,61,31,0,54,62,44,1,28,32,0,15,13%,0,0,0,0,0,0,,,,,,,
Fabian Schär,,,,,,,,,4,37,2,0,5,0,29,2,0,761,34.59,94,22,39,54%,0,5,47,72,30,1,112,113,95,16,34,34,0,12,8%,1,2,0,1,1,0,,,,,,,
Jamaal Lascelles,,,,,,,,,7,31,1,0,5,0,22,1,0,847,35.29,53,24,14,21%,0,2,28,115,68,1,128,109,82,4,74,49,0,0,0%,0,2,1,0,0,0,,,,,,,
Federico Fernández,,,,,,,,,8,42,0,1,8,0,17,2,2,"1,110",34.69,100,32,42,60%,0,2,24,185,106,0,128,132,100,10,61,51,2,29,17%,0,2,1,1,0,1,,,,,,,
Javier Manquillo,,,,,,,,,6,21,0,0,5,0,18,0,1,475,22.62,17,21,39,67%,0,1,18,48,20,0,83,79,61,13,16,16,0,45,11%,0,1,0,0,0,0,,,,,,,
Florian Lejeune,,,,,,,,,1,10,2,0,0,0,6,2,0,197,32.83,14,6,8,25%,0,0,10,13,8,0,35,24,19,4,10,7,0,3,0%,0,0,0,1,1,0,,,,,,,
DeAndre Yedlin,,,,,,,,,1,18,0,0,3,0,8,1,0,246,15.38,13,16,18,72%,0,0,10,16,6,1,38,36,39,1,8,13,0,28,21%,0,2,1,0,0,0,,,,,,,
Antonio Barreca,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,
Lewis Cass,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,
Ki Sung-Yueng,,,,,,,,,,,0,,0,0,1,0,0,66,22.00,3,3,1,100%,,0,3,2,2,,4,8,5,2,2,0,0,5,80%,0,0,0,0,0,0,0.00,0,0,0,0,0%,0
Jonjo Shelvey,,,,,,,,,,,0,,3,0,19,6,2,"1,044",40.15,143,26,29,66%,,15,23,35,20,,139,67,78,15,17,13,7,89,25%,5,1,1,4,1,2,0.23,0,1,45,14,31%,1
Mohamed Diamé,,,,,,,,,,,0,,0,0,0,0,0,0,0.00,0,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.00,0,0,0,0,0%,0
Matt Ritchie,,,,,,,,,,,0,,4,0,26,2,1,526,29.22,23,18,22,68%,,9,14,27,14,,78,67,67,8,21,19,4,99,29%,0,0,0,0,2,1,0.11,0,0,26,8,31%,1
Isaac Hayden,,,,,,,,,,,0,,4,1,25,1,2,801,27.62,18,29,55,49%,,8,38,33,12,,114,152,121,27,49,34,5,38,18%,1,2,1,0,0,0,0.03,0,0,18,3,17%,1
Kenedy,,,,,,,,,,,,,0,0,0,0,0,0,0.00,,0,0,,,0,0,0,0,,,,,,,,0,0,,,0,0,0,0,0,0.00,0,0,0,0,0%,0
Miguel Almirón,,,,,,,,,,,0,,5,0,30,4,2,829,23.03,20,36,60,65%,,19,31,16,7,,189,174,170,46,10,28,3,41,17%,2,24,0,2,2,1,0.11,0,0,56,17,30%,9
