,Saves   ,Penalties saved   ,Punches   ,High Claims   ,Catches   ,Sweeper clearances   ,Throw outs   ,Goal Kicks   ,Clean sheets   ,Goals conceded   ,Errors leading to goal   ,Own goals   ,Yellow cards   ,Red cards   ,Fouls   ,Goals   ,Assists   ,Passes   ,Passes per match   ,Accurate long balls   ,Appearances,Tackles   ,Tackle success %   ,Last man tackles   ,Blocked shots   ,Interceptions   ,Clearances   ,Headed Clearance   ,Clearances off line   ,Recoveries   ,Duels won   ,Duels lost   ,Successful 50/50s   ,Aerial battles won   ,Aerial battles lost   ,Big chances created   ,Crosses   ,Cross accuracy %   ,Through balls   ,Offsides   ,Headed goals   ,Goals with right foot   ,Goals with left foot   ,Hit woodwork   ,Goals per match   ,Penalties scored   ,Freekicks scored   ,Shots   ,Shots on target   ,Shooting accuracy %   ,Big chances missed   
Lukasz Fabianski,72,1,15,10,8,4,100,192,5,34,3,0,1,0,1,0,0,572,22.88,201,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adrián,18,0,4,5,1,9,51,70,2,10,2,0,1,0,0,0,0,260,23.64,50,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Winston Reid,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,
Aaron Cresswell,,,,,,,,,5,51,0,0,7,0,16,3,0,"1,251",40.35,67,31,43,60%,0,3,35,59,30,1,172,116,111,11,45,40,4,127,20%,0,2,0,1,2,0,,,,,,,
Fabián Balbuena,,,,,,,,,3,24,2,0,2,0,6,1,0,503,29.59,35,17,17,71%,0,2,26,71,43,0,65,74,59,2,54,37,1,1,0%,1,0,0,1,0,0,,,,,,,
Pablo Zabaleta,,,,,,,,,0,14,0,0,2,0,7,0,0,249,24.90,6,10,18,56%,0,0,14,16,9,0,27,37,28,2,8,12,1,16,6%,0,0,0,0,0,0,,,,,,,
Angelo Ogbonna,,,,,,,,,6,44,0,1,4,0,22,2,0,977,31.52,76,31,38,63%,1,1,27,130,65,0,141,159,97,5,102,62,0,2,50%,1,0,0,0,1,0,,,,,,,
Issa Diop,,,,,,,,,4,54,1,0,8,0,31,3,1,974,30.44,49,32,27,56%,1,1,47,164,84,0,145,122,84,5,79,40,3,1,0%,0,1,2,1,0,0,,,,,,,
Ryan Fredericks,,,,,,,,,6,39,0,0,7,0,25,0,3,856,31.70,31,27,82,68%,0,2,24,64,31,1,113,149,116,11,36,36,3,59,25%,0,0,0,0,0,0,,,,,,,
Arthur Masuaku,,,,,,,,,1,18,0,0,4,1,10,0,1,503,29.59,17,17,41,56%,0,0,14,22,10,0,74,89,76,27,12,14,2,25,20%,2,0,0,0,0,0,,,,,,,
Felipe Anderson,,,,,,,,,,,0,,1,0,17,1,4,895,35.80,42,25,46,70%,,8,22,10,5,,112,139,130,63,6,19,4,34,26%,5,2,0,1,0,1,0.04,0,0,23,8,35%,3
Manuel Lanzini,,,,,,,,,,,0,,1,0,6,0,2,756,31.50,25,24,14,64%,,8,10,3,2,,81,79,82,33,6,15,2,43,35%,5,4,0,0,0,0,0.00,0,0,23,7,30%,3
Robert Snodgrass,,,,,,,,,,,0,,4,0,20,5,5,505,21.04,17,24,29,55%,,5,4,11,8,,101,94,118,19,15,27,5,136,29%,3,4,0,0,5,1,0.21,0,0,21,10,48%,2
Pedro Obiang,,,,,,,,,,,0,,0,0,0,0,0,0,0.00,0,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.00,0,0,0,0,0%,0
Carlos Sánchez,,,,,,,,,,,0,,0,0,2,0,0,59,9.83,4,6,1,0%,,0,2,1,0,,10,4,5,1,2,2,0,0,0%,0,0,0,0,0,0,0.00,0,0,0,0,0%,0
Mark Noble,,,,,,,,,,,0,,5,0,28,4,3,"1,504",45.58,111,33,52,58%,,3,20,10,8,,189,123,121,25,15,12,5,41,32%,4,1,0,4,0,0,0.12,3,0,17,6,35%,0
Samir Nasri,,,,,,,,,,,0,,0,0,0,0,0,0,0.00,0,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.00,0,0,0,0,0%,0
Jack Wilshere,,,,,,,,,,,0,,0,0,1,0,0,75,9.38,1,8,1,0%,,0,1,0,0,,11,16,18,1,6,1,0,0,0%,0,0,0,0,0,0,0.00,0,0,0,0,0%,0
Michail Antonio,,,,,,,,,,,0,,3,0,41,10,3,446,18.58,9,24,13,69%,,14,9,5,5,,62,201,233,65,91,109,7,48,21%,5,11,2,7,1,2,0.42,1,0,68,31,46%,14
Nathan Holland,,,,,,,,,,,0,,0,0,0,0,0,11,5.50,0,2,3,33%,,0,0,0,0,,1,7,2,3,0,1,0,2,0%,0,0,0,0,0,0,0.00,0,0,1,1,100%,0
Declan Rice,,,,,,,,,,,0,,6,0,41,1,3,"1,733",45.61,128,38,116,52%,,8,77,51,24,,312,223,161,49,52,34,1,28,39%,1,2,0,1,0,2,0.03,0,0,31,9,29%,1
Grady Diangana,,,,,,,,,,,0,,0,0,0,0,0,0,0.00,0,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.00,0,0,0,0,0%,0
Ben Johnson,,,,,,,,,,,0,,0,0,8,0,0,121,40.33,6,3,8,50%,,0,3,10,3,,12,17,17,1,7,5,0,11,18%,0,0,0,0,0,0,0.00,0,0,1,0,0%,0
Conor Coventry,,,,,,,,,,,0,,0,0,0,0,0,0,0.00,0,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.00,0,0,0,0,0%,0
Marko Arnautovic,,,,,,,,,,,,,0,0,0,0,0,0,0.00,,0,0,,,0,0,0,0,,,,,,,,0,0,,,0,0,0,0,0,0.00,0,0,0,0,0%,0
Andy Carroll,,,,,,,,,,,,,1,0,17,0,4,208,10.95,,19,5,,,6,2,24,20,,,,,,,,2,5,,,6,0,0,0,0,0.00,0,0,16,3,19%,2
Chicharito,,,,,,,,,,,,,0,0,0,1,0,20,10.00,,2,0,,,0,1,0,0,,,,,,,,0,0,,,2,0,1,0,0,0.50,0,0,3,2,67%,1
Andriy Yarmolenko,,,,,,,,,,,,,2,0,16,5,1,403,17.52,,23,13,,,4,6,4,3,,,,,,,,6,20,,,8,0,0,5,1,0.22,0,0,26,13,50%,2
Lucas Pérez,,,,,,,,,,,,,0,0,0,0,0,0,0.00,,0,0,,,0,0,0,0,,,,,,,,0,0,,,0,0,0,0,0,0.00,0,0,0,0,0%,0
Xande Silva,,,,,,,,,,,,,0,0,0,0,0,0,0.00,,0,0,,,0,0,0,0,,,,,,,,0,0,,,0,0,0,0,0,0.00,0,0,0,0,0%,0
Reece Oxford,,,,,,,,,,,0,,0,0,0,0,0,0,0.00,0,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.00,0,0,0,0,0%,0
Joe Powell,,,,,,,,,,,0,,0,0,0,0,0,0,0.00,0,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.00,0,0,0,0,0%,0
Sead Haksabanovic,,,,,,,,,,,0,,0,0,0,0,0,0,0.00,0,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.00,0,0,0,0,0%,0
Josh Cullen,,,,,,,,,,,0,,0,0,0,0,0,0,0.00,0,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.00,0,0,0,0,0%,0
Edimilson Fernandes,,,,,,,,,,,0,,0,0,0,0,0,0,0.00,0,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.00,0,0,0,0,0%,0
Toni Martínez,,,,,,,,,,,,,0,0,0,0,0,0,0.00,,0,0,,,0,0,0,0,,,,,,,,0,0,,,0,0,0,0,0,0.00,0,0,0,0,0%,0
Sam Byram,,,,,,,,,3,23,0,0,4,0,16,0,0,636,37.41,15,17,40,55%,0,5,26,61,33,0,73,97,87,6,43,39,0,7,14%,0,1,0,0,0,1,,,,,,,
Pablo Fornals,,,,,,,,,,,0,,3,0,18,2,5,843,23.42,40,36,46,61%,,9,25,8,3,,155,87,153,15,10,48,4,61,16%,6,7,0,2,0,0,0.06,0,0,36,11,31%,2
Jordan Hugill,,,,,,,,,,,,,0,0,0,0,0,0,0.00,,0,0,,,0,0,0,0,,,,,,,,0,0,,,0,0,0,0,0,0.00,0,0,0,0,0%,0
Roberto Jiménez,36,0,8,0,1,2,26,41,0,17,2,1,0,0,0,0,0,203,25.38,49,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Martin,15,0,1,1,0,0,12,44,2,6,1,0,1,0,0,0,0,111,22.20,40,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sébastien Haller,,,,,,,,,,,,,1,0,46,7,1,767,23.97,,32,22,,,10,8,26,22,,,,,,,,2,8,,,18,0,5,2,0,0.22,0,0,56,27,48%,6
Gonçalo Cardoso,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,
Albian Ajeti,,,,,,,,,,,,,0,0,6,0,0,15,1.67,,9,1,,,2,0,0,0,,,,,,,,0,0,,,2,0,0,0,0,0.00,0,0,3,0,0%,0
Joseph Anang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeremy Ngakia,,,,,,,,,0,8,0,0,0,0,4,0,0,106,21.20,6,5,15,47%,0,0,7,15,3,0,16,32,36,9,7,13,0,12,8%,1,1,0,0,0,0,,,,,,,
Bernardo Rosa,,,,,,,,,,,0,,0,0,0,0,0,0,0.00,0,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.00,0,0,0,0,0%,0
Darren Randolph,6,0,0,0,0,1,4,14,0,5,0,0,0,0,0,0,0,36,18.00,16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
