,Saves   ,Penalties saved   ,Punches   ,High Claims   ,Catches   ,Sweeper clearances   ,Throw outs   ,Goal Kicks   ,Clean sheets   ,Goals conceded   ,Errors leading to goal   ,Own goals   ,Yellow cards   ,Red cards   ,Fouls   ,Goals   ,Assists   ,Passes   ,Passes per match   ,Accurate long balls   ,Appearances,Tackles   ,Tackle success %   ,Last man tackles   ,Blocked shots   ,Interceptions   ,Clearances   ,Headed Clearance   ,Clearances off line   ,Recoveries   ,Duels won   ,Duels lost   ,Successful 50/50s   ,Aerial battles won   ,Aerial battles lost   ,Big chances created   ,Crosses   ,Cross accuracy %   ,Through balls   ,Offsides   ,Headed goals   ,Goals with right foot   ,Goals with left foot   ,Hit woodwork   ,Goals per match   ,Penalties scored   ,Freekicks scored   ,Shots   ,Shots on target   ,Shooting accuracy %   ,Big chances missed   
Artur Boruc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asmir Begovic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Travers,2,0,0,0,0,0,5,7,0,3,1,0,0,0,0,0,0,25,25.00,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simon Francis,,,,,,,,,1,21,0,0,3,1,7,0,0,520,34.67,30,15,13,69%,0,3,20,66,40,0,62,66,54,4,48,32,1,16,19%,0,0,0,0,0,0,,,,,,,
Steve Cook,,,,,,,,,3,47,0,0,6,1,16,1,0,"1,271",43.83,78,29,22,50%,1,4,44,151,76,1,112,153,93,3,115,66,1,1,0%,0,1,1,0,0,1,,,,,,,
Nathan Aké,,,,,,,,,4,46,0,0,2,0,9,2,2,"1,210",41.72,53,29,31,68%,0,6,36,147,78,0,140,107,83,3,62,63,2,5,0%,1,3,1,0,1,1,,,,,,,
Charlie Daniels,,,,,,,,,0,2,0,0,0,0,0,0,0,37,18.50,3,2,1,100%,0,0,1,4,4,0,11,3,2,0,2,0,0,5,40%,0,0,0,0,0,0,,,,,,,
Adam Smith,,,,,,,,,3,40,0,0,7,0,25,0,1,841,35.04,26,24,47,68%,0,1,25,48,19,0,92,145,119,24,35,29,2,28,21%,0,2,0,0,0,0,,,,,,,
Diego Rico,,,,,,,,,5,38,0,0,6,0,18,0,4,"1,085",40.19,57,27,61,64%,0,4,84,60,27,0,168,129,108,13,33,28,5,173,25%,2,2,0,0,0,1,,,,,,,
Nathaniel Clyne,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,
