,Saves   ,Penalties saved   ,Punches   ,High Claims   ,Catches   ,Sweeper clearances   ,Throw outs   ,Goal Kicks   ,Clean sheets   ,Goals conceded   ,Errors leading to goal   ,Own goals   ,Yellow cards   ,Red cards   ,Fouls   ,Goals   ,Assists   ,Passes   ,Passes per match   ,Accurate long balls   ,Appearances,Tackles   ,Tackle success %   ,Last man tackles   ,Blocked shots   ,Interceptions   ,Clearances   ,Headed Clearance   ,Clearances off line   ,Recoveries   ,Duels won   ,Duels lost   ,Successful 50/50s   ,Aerial battles won   ,Aerial battles lost   ,Big chances created   ,Crosses   ,Cross accuracy %   ,Through balls   ,Offsides   ,Headed goals   ,Goals with right foot   ,Goals with left foot   ,Hit woodwork   ,Goals per match   ,Penalties scored   ,Freekicks scored   ,Shots   ,Shots on target   ,Shooting accuracy %   ,Big chances missed   
Petr Cech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bernd Leno,113,1,17,17,11,15,185,253,7,39,2,0,2,0,0,0,0,800,26.67,74,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dejan Iliev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Héctor Bellerín,,,,,,,,,3,18,0,0,2,0,15,1,0,570,38.00,14,15,20,65%,0,2,19,24,9,0,54,54,74,18,13,16,1,27,7%,0,1,0,0,1,0,,,,,,,
Sokratis,,,,,,,,,4,25,1,0,6,0,19,2,0,"1,029",54.16,70,19,25,64%,0,2,17,67,39,1,71,100,62,5,59,28,2,1,0%,1,1,0,2,0,1,,,,,,,
Laurent Koscielny,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,
Stephan Lichtsteiner,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,
Rob Holding,,,,,,,,,1,9,0,0,1,0,4,0,0,351,43.88,20,8,4,50%,0,0,5,43,26,0,22,25,24,2,16,14,0,0,0%,0,0,0,0,0,0,,,,,,,
Nacho Monreal,,,,,,,,,1,4,0,0,0,0,1,0,0,177,59.00,4,3,1,100%,0,0,3,10,8,0,14,11,14,2,7,8,1,4,0%,0,2,0,0,0,0,,,,,,,
Shkodran Mustafi,,,,,,,,,4,17,0,0,2,0,14,0,1,844,56.27,48,15,17,59%,0,2,18,70,44,0,42,88,42,3,65,21,1,2,50%,0,0,0,0,0,0,,,,,,,
