,Saves   ,Penalties saved   ,Punches   ,High Claims   ,Catches   ,Sweeper clearances   ,Throw outs   ,Goal Kicks   ,Clean sheets   ,Goals conceded   ,Errors leading to goal   ,Own goals   ,Yellow cards   ,Red cards   ,Fouls   ,Goals   ,Assists   ,Passes   ,Passes per match   ,Accurate long balls   ,Appearances,Tackles   ,Tackle success %   ,Last man tackles   ,Blocked shots   ,Interceptions   ,Clearances   ,Headed Clearance   ,Clearances off line   ,Recoveries   ,Duels won   ,Duels lost   ,Successful 50/50s   ,Aerial battles won   ,Aerial battles lost   ,Big chances created   ,Crosses   ,Cross accuracy %   ,Through balls   ,Offsides   ,Headed goals   ,Goals with right foot   ,Goals with left foot   ,Hit woodwork   ,Goals per match   ,Penalties scored   ,Freekicks scored   ,Shots   ,Shots on target   ,Shooting accuracy %   ,Big chances missed   
Tom Heaton,68,0,6,10,7,7,99,195,4,35,0,1,0,0,1,0,0,527,26.35,118,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Hart,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anders Lindegaard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick Pope,120,1,11,46,6,18,180,304,15,50,2,0,1,0,0,0,0,"1,007",26.50,277,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam Legzdins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matthew Lowton,,,,,,,,,6,31,1,0,2,0,14,0,1,551,32.41,41,17,41,54%,0,0,27,52,30,0,72,82,47,9,22,14,2,45,20%,2,0,0,0,0,0,,,,,,,
Charlie Taylor,,,,,,,,,10,18,1,0,3,0,17,0,1,713,29.71,34,24,39,62%,0,0,29,62,37,1,111,131,95,19,45,30,1,88,23%,0,2,0,0,0,0,,,,,,,
James Tarkowski,,,,,,,,,15,50,0,0,10,0,49,2,2,"1,350",35.53,105,38,66,65%,1,6,63,200,111,0,180,307,145,13,198,74,6,4,0%,0,3,0,1,1,0,,,,,,,
Ben Mee,,,,,,,,,13,45,2,0,7,0,25,1,1,"1,257",39.28,102,32,41,54%,0,4,42,160,80,0,176,195,125,6,131,90,3,3,33%,0,3,1,0,0,1,,,,,,,
Ben Gibson,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,
Stephen Ward,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,
Phil Bardsley,,,,,,,,,9,19,0,0,6,0,35,0,1,658,31.33,49,21,49,73%,0,4,30,66,36,1,80,102,77,4,38,26,3,33,18%,3,0,0,0,0,0,,,,,,,
Kevin Long,,,,,,,,,2,5,0,0,0,0,9,0,0,200,25.00,11,8,7,71%,0,1,4,30,15,0,23,40,35,1,28,23,0,0,0%,0,0,0,0,0,0,,,,,,,
Anthony Driscoll-Glennon,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,
Jack Cork,,,,,,,,,,,0,,1,0,33,0,0,923,30.77,48,30,35,69%,,8,28,45,24,,171,140,195,26,56,69,2,6,17%,2,1,0,0,0,0,0.00,0,0,18,6,33%,1
