,Saves   ,Penalties saved   ,Punches   ,High Claims   ,Catches   ,Sweeper clearances   ,Throw outs   ,Goal Kicks   ,Clean sheets   ,Goals conceded   ,Errors leading to goal   ,Own goals   ,Yellow cards   ,Red cards   ,Fouls   ,Goals   ,Assists   ,Passes   ,Passes per match   ,Accurate long balls   ,Appearances,Tackles   ,Tackle success %   ,Last man tackles   ,Blocked shots   ,Interceptions   ,Clearances   ,Headed Clearance   ,Clearances off line   ,Recoveries   ,Duels won   ,Duels lost   ,Successful 50/50s   ,Aerial battles won   ,Aerial battles lost   ,Big chances created   ,Crosses   ,Cross accuracy %   ,Through balls   ,Offsides   ,Headed goals   ,Goals with right foot   ,Goals with left foot   ,Hit woodwork   ,Goals per match   ,Penalties scored   ,Freekicks scored   ,Shots   ,Shots on target   ,Shooting accuracy %   ,Big chances missed   
Kepa Arrizabalaga,55,0,5,20,2,12,151,198,8,47,0,0,0,0,0,0,0,938,28.42,131,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Willy Caballero,10,0,1,1,0,2,17,28,1,7,0,0,0,0,0,0,0,147,29.40,31,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert Green,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamie Cumming,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcin Bulka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antonio Rüdiger,,,,,,,,,5,24,1,1,3,0,19,2,0,"1,492",74.60,113,20,28,64%,0,3,16,56,29,0,141,96,69,3,57,39,2,7,14%,3,0,2,0,0,0,,,,,,,
Marcos Alonso,,,,,,,,,5,18,0,0,4,0,16,4,2,908,50.44,26,18,28,57%,0,11,20,25,15,0,96,97,80,12,42,31,4,66,30%,1,2,1,0,3,1,,,,,,,
Davide Zappacosta,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,
Gary Cahill,,,,,,,,,7,35,0,0,1,0,14,0,1,"1,004",40.16,73,25,15,53%,0,8,18,111,56,0,98,115,77,4,87,52,1,0,0%,0,0,0,0,0,0,,,,,,,
Andreas Christensen,,,,,,,,,3,33,0,0,5,0,17,0,0,"1,307",62.24,52,21,38,55%,0,1,29,56,33,0,107,120,73,4,69,51,2,0,0%,2,0,0,0,0,0,,,,,,,
César Azpilicueta,,,,,,,,,7,53,0,0,1,0,40,2,6,"2,435",67.64,80,36,86,65%,0,9,67,81,40,1,172,205,158,12,93,64,8,121,25%,0,3,0,2,0,0,,,,,,,
David Luiz,,,,,,,,,8,38,2,0,5,2,30,2,1,"1,799",54.52,161,33,28,57%,0,4,32,126,76,0,128,98,90,5,52,42,2,5,60%,12,1,1,1,0,0,,,,,,,
Emerson,,,,,,,,,1,21,0,0,3,0,4,0,0,718,47.87,22,15,23,52%,0,4,18,14,9,0,59,68,31,12,17,11,2,54,24%,0,2,0,0,0,1,,,,,,,
Ethan Ampadu,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,
Marc Guehi,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,
Jorginho,,,,,,,,,,,0,,10,0,27,4,2,"2,257",72.81,132,31,66,61%,,4,64,26,7,,247,123,151,13,14,39,6,10,10%,16,0,0,4,0,0,0.13,3,0,12,4,33%,0
Daniel Drinkwater,,,,,,,,,,,1,,1,0,8,0,0,192,38.40,10,5,7,57%,,0,6,5,2,,36,9,36,1,0,6,0,1,0%,0,0,0,0,0,0,0.00,0,0,2,0,0%,0
N'Golo Kanté,,,,,,,,,,,2,,4,0,45,3,0,"1,134",51.55,40,22,44,45%,,6,44,31,10,,158,96,138,24,19,32,1,26,42%,0,0,0,2,1,0,0.14,0,0,18,6,33%,1
Ross Barkley,,,,,,,,,,,0,,0,0,9,1,4,618,29.43,39,21,16,56%,,16,7,7,3,,69,70,80,27,12,13,2,12,17%,6,0,0,0,1,1,0.05,0,0,40,12,30%,3
Ruben Loftus-Cheek,,,,,,,,,,,0,,0,0,2,0,1,132,18.86,5,7,0,0%,,0,2,2,1,,13,9,11,4,2,3,1,1,0%,1,0,0,0,0,0,0.00,0,0,4,0,0%,1
Mateo Kovacic,,,,,,,,,,,0,,8,0,20,1,3,"1,868",60.26,93,31,63,60%,,9,22,16,7,,174,186,115,77,8,17,3,8,13%,10,0,0,1,0,0,0.03,0,0,21,5,24%,0
George McEachran,,,,,,,,,,,0,,0,0,0,0,0,0,0.00,0,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.00,0,0,0,0,0%,0
Gonzalo Higuaín,,,,,,,,,,,,,0,0,0,0,0,0,0.00,,0,0,,,0,0,0,0,,,,,,,,0,0,,,0,0,0,0,0,0.00,0,0,0,0,0%,0
Pedro,,,,,,,,,,,,,1,0,8,1,1,315,28.64,,11,15,,,8,9,1,0,,,,,,,,1,20,,,0,0,1,0,0,0.09,0,0,22,10,45%,1
Olivier Giroud,,,,,,,,,,,,,1,0,17,8,0,299,16.61,,18,8,,,4,2,13,12,,,,,,,,1,2,,,9,1,2,5,1,0.44,0,0,39,19,49%,6
Callum Hudson-Odoi,,,,,,,,,,,,,1,0,11,1,5,412,18.73,,22,10,,,11,5,4,2,,,,,,,,6,63,,,3,0,1,0,1,0.05,0,0,21,4,19%,1
Willian,,,,,,,,,,,,,4,0,17,9,7,"1,436",39.89,,36,45,,,23,20,7,3,,,,,,,,12,174,,,4,0,9,0,1,0.25,4,1,71,29,41%,4
Lucas Piazon,,,,,,,,,,,0,,0,0,0,0,0,0,0.00,0,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.00,0,0,0,0,0%,0
Abdul Rahman Baba,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,
Álvaro Morata,,,,,,,,,,,,,0,0,0,0,0,0,0.00,,0,0,,,0,0,0,0,,,,,,,,0,0,,,0,0,0,0,0,0.00,0,0,0,0,0%,0
Victor Moses,,,,,,,,,,,0,,0,0,0,0,0,0,0.00,0,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.00,0,0,0,0,0%,0
Matt Miazga,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,
