,Saves   ,Penalties saved   ,Punches   ,High Claims   ,Catches   ,Sweeper clearances   ,Throw outs   ,Goal Kicks   ,Clean sheets   ,Goals conceded   ,Errors leading to goal   ,Own goals   ,Yellow cards   ,Red cards   ,Fouls   ,Goals   ,Assists   ,Passes   ,Passes per match   ,Accurate long balls   ,Appearances,Tackles   ,Tackle success %   ,Last man tackles   ,Blocked shots   ,Interceptions   ,Clearances   ,Headed Clearance   ,Clearances off line   ,Recoveries   ,Duels won   ,Duels lost   ,Successful 50/50s   ,Aerial battles won   ,Aerial battles lost   ,Big chances created   ,Crosses   ,Cross accuracy %   ,Through balls   ,Offsides   ,Headed goals   ,Goals with right foot   ,Goals with left foot   ,Hit woodwork   ,Goals per match   ,Penalties scored   ,Freekicks scored   ,Shots   ,Shots on target   ,Shooting accuracy %   ,Big chances missed   
Jordan Pickford,94,0,11,19,7,9,195,264,9,56,4,0,2,0,1,0,0,"1,184",31.16,293,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maarten Stekelenburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
João Virgínia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mateusz Hewelt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leighton Baines,,,,,,,,,0,8,0,0,0,0,1,0,0,155,19.38,3,8,10,60%,0,0,5,10,4,0,17,21,14,2,5,7,1,27,37%,0,0,0,0,0,0,,,,,,,
Michael Keane,,,,,,,,,7,42,0,1,3,0,20,2,0,"1,447",46.68,91,31,31,52%,0,1,44,150,91,0,127,169,121,1,130,90,1,0,0%,2,0,1,1,0,1,,,,,,,
Kurt Zouma,,,,,,,,,7,37,0,1,6,0,30,0,0,"2,080",74.29,139,28,23,61%,3,1,58,112,60,0,150,150,80,8,106,38,0,0,0%,0,1,0,0,0,0,,,,,,,
Phil Jagielka,,,,,,,,,0,6,0,0,0,0,1,0,0,75,12.50,4,6,5,80%,0,0,4,19,10,0,16,24,7,0,15,4,0,1,100%,0,0,0,0,0,0,,,,,,,
Lucas Digne,,,,,,,,,7,49,0,1,6,0,43,0,7,"1,374",39.26,64,35,73,67%,0,15,42,93,47,0,182,237,167,23,114,53,8,270,27%,2,3,0,0,0,1,,,,,,,
Yerry Mina,,,,,,,,,4,37,0,1,3,0,20,2,1,"1,361",46.93,108,29,39,56%,0,6,28,98,58,0,131,170,97,6,114,70,2,4,0%,1,2,1,1,0,0,,,,,,,
Séamus Coleman,,,,,,,,,5,28,1,0,3,1,19,0,1,824,30.52,33,27,42,74%,0,2,24,36,20,0,118,128,78,38,29,20,2,43,7%,0,1,0,0,0,0,,,,,,,
