,Saves   ,Penalties saved   ,Punches   ,High Claims   ,Catches   ,Sweeper clearances   ,Throw outs   ,Goal Kicks   ,Clean sheets   ,Goals conceded   ,Errors leading to goal   ,Own goals   ,Yellow cards   ,Red cards   ,Fouls   ,Goals   ,Assists   ,Passes   ,Passes per match   ,Accurate long balls   ,Appearances,Tackles   ,Tackle success %   ,Last man tackles   ,Blocked shots   ,Interceptions   ,Clearances   ,Headed Clearance   ,Clearances off line   ,Recoveries   ,Duels won   ,Duels lost   ,Successful 50/50s   ,Aerial battles won   ,Aerial battles lost   ,Big chances created   ,Crosses   ,Cross accuracy %   ,Through balls   ,Offsides   ,Headed goals   ,Goals with right foot   ,Goals with left foot   ,Hit woodwork   ,Goals per match   ,Penalties scored   ,Freekicks scored   ,Shots   ,Shots on target   ,Shooting accuracy %   ,Big chances missed   
Kasper Schmeichel,96,2,8,14,12,8,159,241,13,41,1,0,2,0,0,0,0,"1,033",27.18,248,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danny Ward,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eldin Jakupovic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danny Simpson,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,
Ben Chilwell,,,,,,,,,9,26,0,0,3,0,29,3,3,"1,654",61.26,54,27,43,60%,0,3,28,54,26,0,161,147,148,19,56,38,5,103,18%,3,1,0,1,2,1,,,,,,,
Çaglar Söyüncü,,,,,,,,,12,33,0,0,4,1,30,1,1,"2,319",68.21,111,34,60,67%,0,0,43,151,73,1,195,202,117,17,109,64,1,4,0%,0,1,1,0,0,0,,,,,,,
Wes Morgan,,,,,,,,,1,6,0,0,0,0,4,0,0,245,22.27,7,11,4,25%,0,1,7,19,7,0,16,26,23,2,20,16,0,0,0%,0,0,0,0,0,0,,,,,,,
Jonny Evans,,,,,,,,,11,41,0,1,8,1,35,1,1,"2,491",65.55,116,38,48,71%,0,1,57,171,84,0,230,207,121,6,127,71,0,8,13%,1,2,1,0,0,0,,,,,,,
Ricardo Pereira,,,,,,,,,10,27,0,0,1,0,45,3,2,"1,572",56.14,59,28,119,57%,3,3,49,74,38,0,171,257,215,60,42,48,5,60,15%,4,0,0,2,1,0,,,,,,,
Harry Maguire,,,,,,,,,13,36,0,0,6,0,33,1,1,"2,519",66.29,169,38,37,62%,0,6,72,157,94,0,237,240,128,8,176,71,2,2,0%,1,6,1,0,0,0,,,,,,,
Christian Fuchs,,,,,,,,,2,10,1,0,0,0,2,0,0,563,51.18,26,11,14,64%,0,1,17,23,13,0,45,35,36,2,19,18,0,16,13%,0,1,0,0,0,0,,,,,,,
Demarai Gray,,,,,,,,,,,0,,1,0,2,2,3,291,13.86,10,21,12,50%,,7,5,3,1,,35,34,50,10,2,8,4,31,26%,1,3,0,2,0,0,0.10,0,0,23,8,35%,1
James Maddison,,,,,,,,,,,0,,4,0,36,6,3,"1,473",47.52,72,31,59,51%,,30,9,5,1,,162,205,162,51,7,24,8,221,27%,19,4,0,4,2,1,0.19,0,1,74,18,24%,6
Marc Albrighton,,,,,,,,,,,0,,2,0,7,0,3,407,20.35,23,20,24,71%,,3,10,7,4,,67,52,63,14,3,7,5,69,16%,3,1,0,0,0,1,0.00,0,0,10,2,20%,0
Daniel Amartey,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,
Harvey Barnes,,,,,,,,,,,0,,0,0,20,6,8,699,19.42,11,36,16,69%,,15,8,4,2,,91,116,135,43,28,39,6,41,12%,5,4,0,5,1,0,0.17,0,0,61,28,46%,8
Youri Tielemans,,,,,,,,,,,0,,2,0,32,3,6,"1,780",48.11,99,37,52,56%,,21,22,12,4,,188,155,156,29,26,30,8,81,19%,13,1,0,2,1,1,0.08,0,0,56,13,23%,1
Matty James,,,,,,,,,,,0,,0,0,0,0,0,5,5.00,0,1,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.00,0,0,0,0,0%,0
Nampalys Mendy,,,,,,,,,,,0,,0,0,4,0,0,209,29.86,10,7,7,71%,,0,6,4,2,,32,21,10,1,5,2,0,2,100%,0,0,0,0,0,0,0.00,0,0,1,1,100%,0
Wilfred Ndidi,,,,,,,,,,,1,,6,0,56,2,1,"1,669",52.16,79,32,128,52%,,7,80,61,25,,271,260,203,22,83,69,0,3,0%,2,1,1,1,0,1,0.06,0,0,26,3,12%,0
Rachid Ghezzal,,,,,,,,,,,,,0,0,0,0,0,0,0.00,,0,0,,,0,0,0,0,,,,,,,,0,0,,,0,0,0,0,0,0.00,0,0,0,0,0%,0
Hamza Choudhury,,,,,,,,,,,0,,2,1,12,1,1,496,24.80,19,20,17,47%,,3,24,12,5,,51,39,54,3,12,10,0,4,0%,0,0,0,1,0,0,0.05,0,0,7,2,29%,0
Thakgalo Leshabela,,,,,,,,,,,0,,0,0,0,0,0,0,0.00,0,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.00,0,0,0,0,0%,0
Kelechi Iheanacho,,,,,,,,,,,,,1,0,24,5,3,267,13.35,,20,3,,,7,3,7,6,,,,,,,,3,2,,,9,2,2,1,0,0.25,0,0,36,20,56%,5
Jamie Vardy,,,,,,,,,,,,,2,0,20,23,5,442,12.63,,35,15,,,18,2,22,17,,,,,,,,12,31,,,28,3,11,9,4,0.66,4,0,89,43,48%,18
Shinji Okazaki,,,,,,,,,,,,,0,0,0,0,0,0,0.00,,0,0,,,0,0,0,0,,,,,,,,0,0,,,0,0,0,0,0,0.00,0,0,0,0,0%,0
Adrien Silva,,,,,,,,,,,0,,0,0,0,0,0,0,0.00,0,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.00,0,0,0,0,0%,0
Josh Knight,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,
Andy King,,,,,,,,,,,0,,0,0,0,0,0,0,0.00,0,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.00,0,0,0,0,0%,0
Yohan Benalouane,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,
Fousseni Diabaté,,,,,,,,,,,0,,0,0,0,0,0,0,0.00,0,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.00,0,0,0,0,0%,0
Vicente Iborra,,,,,,,,,,,0,,0,0,0,0,0,0,0.00,0,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.00,0,0,0,0,0%,0
Filip Benkovic,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,
Bartosz Kapustka,,,,,,,,,,,0,,0,0,0,0,0,0,0.00,0,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.00,0,0,0,0,0%,0
