,Saves   ,Penalties saved   ,Punches   ,High Claims   ,Catches   ,Sweeper clearances   ,Throw outs   ,Goal Kicks   ,Clean sheets   ,Goals conceded   ,Errors leading to goal   ,Own goals   ,Yellow cards   ,Red cards   ,Fouls   ,Goals   ,Assists   ,Passes   ,Passes per match   ,Accurate long balls   ,Appearances,Tackles   ,Tackle success %   ,Last man tackles   ,Blocked shots   ,Interceptions   ,Clearances   ,Headed Clearance   ,Clearances off line   ,Recoveries   ,Duels won   ,Duels lost   ,Successful 50/50s   ,Aerial battles won   ,Aerial battles lost   ,Big chances created   ,Crosses   ,Cross accuracy %   ,Through balls   ,Offsides   ,Headed goals   ,Goals with right foot   ,Goals with left foot   ,Hit woodwork   ,Goals per match   ,Penalties scored   ,Freekicks scored   ,Shots   ,Shots on target   ,Shooting accuracy %   ,Big chances missed   
Alisson,58,0,9,7,6,19,140,167,13,23,1,0,0,1,1,0,1,805,27.76,115,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simon Mignolet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caoimhin Kelleher,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virgil van Dijk,,,,,,,,,15,33,1,0,1,0,16,5,1,"3,259",85.76,205,38,23,52%,2,5,40,162,83,1,220,239,81,3,191,60,2,0,0%,7,1,5,0,0,1,,,,,,,
Dejan Lovren,,,,,,,,,0,11,0,0,1,0,4,0,1,680,68.00,28,10,13,62%,2,1,10,41,18,0,51,70,36,1,49,27,1,0,0%,2,0,0,0,0,0,,,,,,,
Joseph Gomez,,,,,,,,,12,16,0,0,7,0,21,0,0,"1,988",71.00,104,28,23,70%,0,1,38,59,25,0,151,112,87,8,70,49,0,9,33%,1,0,0,0,0,0,,,,,,,
Alberto Moreno,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,
Andrew Robertson,,,,,,,,,9,31,0,0,2,0,18,2,12,"2,492",69.22,84,36,54,57%,0,7,38,58,25,0,210,122,116,22,33,34,14,210,20%,2,2,2,0,0,0,,,,,,,
Joel Matip,,,,,,,,,2,5,0,0,0,0,7,1,0,553,61.44,26,9,13,69%,0,0,12,37,24,0,51,66,21,2,47,5,0,1,0%,0,0,1,0,0,0,,,,,,,
Ki-Jana Hoever,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,
Trent Alexander-Arnold,,,,,,,,,12,32,1,0,5,0,22,4,13,"2,440",64.21,192,38,55,62%,1,17,45,70,29,0,221,100,135,21,16,30,18,382,21%,5,3,0,4,0,0,,,,,,,
Fabinho,,,,,,,,,,,0,,6,0,32,2,3,"1,578",56.36,80,28,62,56%,,4,34,16,6,,157,132,110,9,42,28,2,9,44%,3,0,0,2,0,0,0.07,0,0,12,4,33%,0
Georginio Wijnaldum,,,,,,,,,,,0,,0,0,15,4,0,"1,625",43.92,41,37,38,53%,,5,17,33,18,,189,141,158,41,30,51,0,5,20%,0,1,1,3,0,0,0.11,0,0,36,15,42%,2
