,Saves   ,Penalties saved   ,Punches   ,High Claims   ,Catches   ,Sweeper clearances   ,Throw outs   ,Goal Kicks   ,Clean sheets   ,Goals conceded   ,Errors leading to goal   ,Own goals   ,Yellow cards   ,Red cards   ,Fouls   ,Goals   ,Assists   ,Passes   ,Passes per match   ,Accurate long balls   ,Appearances,Tackles   ,Tackle success %   ,Last man tackles   ,Blocked shots   ,Interceptions   ,Clearances   ,Headed Clearance   ,Clearances off line   ,Recoveries   ,Duels won   ,Duels lost   ,Successful 50/50s   ,Aerial battles won   ,Aerial battles lost   ,Big chances created   ,Crosses   ,Cross accuracy %   ,Through balls   ,Offsides   ,Headed goals   ,Goals with right foot   ,Goals with left foot   ,Hit woodwork   ,Goals per match   ,Penalties scored   ,Freekicks scored   ,Shots   ,Shots on target   ,Shooting accuracy %   ,Big chances missed   
Tim Krul,132,2,20,28,3,10,198,332,5,68,1,1,4,0,1,0,0,"1,382",38.39,247,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael McGovern,7,1,2,0,0,1,11,14,0,6,0,0,0,0,0,0,0,40,20.00,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aston Oxborough,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ivo Pinto,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,
Christoph Zimmermann,,,,,,,,,3,27,0,0,3,0,9,0,1,661,38.88,46,17,32,66%,1,1,19,87,52,0,79,73,44,5,27,22,0,0,0%,0,0,0,0,0,0,,,,,,,
Jamal Lewis,,,,,,,,,2,56,0,0,4,0,15,1,0,"1,044",37.29,31,28,51,69%,0,2,25,55,20,0,141,115,102,34,7,22,1,44,23%,1,2,0,0,1,0,,,,,,,
Timm Klose,,,,,,,,,0,13,0,0,0,0,8,0,0,393,56.14,15,7,8,25%,0,2,7,27,15,0,30,31,32,2,17,21,0,0,0%,0,0,0,0,0,0,,,,,,,
Felix Passlack,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,
Philip Heise,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,
Grant Hanley,,,,,,,,,2,25,0,1,4,0,12,0,0,658,43.87,32,15,24,63%,0,1,31,76,44,0,56,89,38,2,44,18,0,0,0%,0,0,0,0,0,0,,,,,,,
