,Saves   ,Penalties saved   ,Punches   ,High Claims   ,Catches   ,Sweeper clearances   ,Throw outs   ,Goal Kicks   ,Clean sheets   ,Goals conceded   ,Errors leading to goal   ,Own goals   ,Yellow cards   ,Red cards   ,Fouls   ,Goals   ,Assists   ,Passes   ,Passes per match   ,Accurate long balls   ,Appearances,Tackles   ,Tackle success %   ,Last man tackles   ,Blocked shots   ,Interceptions   ,Clearances   ,Headed Clearance   ,Clearances off line   ,Recoveries   ,Duels won   ,Duels lost   ,Successful 50/50s   ,Aerial battles won   ,Aerial battles lost   ,Big chances created   ,Crosses   ,Cross accuracy %   ,Through balls   ,Offsides   ,Headed goals   ,Goals with right foot   ,Goals with left foot   ,Hit woodwork   ,Goals per match   ,Penalties scored   ,Freekicks scored   ,Shots   ,Shots on target   ,Shooting accuracy %   ,Big chances missed   
Dean Henderson,97,1,16,16,7,8,106,261,13,33,1,0,2,0,0,0,0,934,25.94,265,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simon Moore,5,0,0,0,0,0,4,11,0,6,1,0,0,0,0,0,0,44,22.00,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jake Eastwood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George Baldock,,,,,,,,,13,39,1,0,7,0,47,2,3,"1,118",29.42,22,38,62,69%,0,3,34,69,35,0,167,186,172,42,39,57,2,128,29%,0,11,0,2,0,0,,,,,,,
Enda Stevens,,,,,,,,,12,39,2,0,7,0,39,2,4,"1,469",38.66,70,38,81,57%,0,7,35,59,22,0,226,192,186,61,31,32,9,123,16%,2,2,1,0,1,0,,,,,,,
Jack O'Connell,,,,,,,,,12,28,1,0,4,0,22,0,1,"1,557",47.18,125,33,23,61%,1,3,42,144,76,0,184,182,112,9,135,66,6,51,22%,1,2,0,0,0,0,,,,,,,
Chris Basham,,,,,,,,,12,37,1,0,4,0,26,0,1,"1,315",34.61,70,38,85,56%,0,0,77,167,102,0,188,247,140,24,109,62,2,51,12%,0,5,0,0,0,0,,,,,,,
John Lundstram,,,,,,,,,,,0,,5,0,27,5,3,"1,176",34.59,86,34,46,65%,,10,33,43,22,,157,99,136,18,24,33,8,55,18%,3,7,0,4,1,1,0.15,0,0,43,10,23%,4
John Egan,,,,,,,,,12,30,1,0,3,1,34,2,0,"1,290",35.83,111,36,44,61%,1,14,58,165,76,0,177,198,129,1,134,79,1,2,0%,0,1,1,1,0,0,,,,,,,
Jake Wright,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,
