,Saves   ,Penalties saved   ,Punches   ,High Claims   ,Catches   ,Sweeper clearances   ,Throw outs   ,Goal Kicks   ,Clean sheets   ,Goals conceded   ,Errors leading to goal   ,Own goals   ,Yellow cards   ,Red cards   ,Fouls   ,Goals   ,Assists   ,Passes   ,Passes per match   ,Accurate long balls   ,Appearances,Tackles   ,Tackle success %   ,Last man tackles   ,Blocked shots   ,Interceptions   ,Clearances   ,Headed Clearance   ,Clearances off line   ,Recoveries   ,Duels won   ,Duels lost   ,Successful 50/50s   ,Aerial battles won   ,Aerial battles lost   ,Big chances created   ,Crosses   ,Cross accuracy %   ,Through balls   ,Offsides   ,Headed goals   ,Goals with right foot   ,Goals with left foot   ,Hit woodwork   ,Goals per match   ,Penalties scored   ,Freekicks scored   ,Shots   ,Shots on target   ,Shooting accuracy %   ,Big chances missed   
Alex McCarthy,79,1,14,22,5,6,76,178,7,35,3,0,0,0,1,0,0,745,26.61,201,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angus Gunn,30,0,2,3,2,6,27,77,2,25,0,0,0,0,0,0,0,231,23.10,43,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harry Lewis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fraser Forster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maya Yoshida,,,,,,,,,1,18,0,0,1,0,3,0,0,267,33.38,15,8,8,63%,0,0,4,25,14,0,33,27,16,1,14,7,0,0,0%,0,0,0,0,0,0,,,,,,,
Jannik Vestergaard,,,,,,,,,4,26,0,0,3,0,9,1,0,822,43.26,42,19,19,63%,0,2,26,97,50,0,80,112,58,3,81,29,1,1,100%,0,0,1,0,0,1,,,,,,,
Jack Stephens,,,,,,,,,7,38,1,0,4,1,14,1,3,"1,276",45.57,100,28,44,61%,0,0,31,114,53,0,140,113,109,7,50,66,2,5,0%,2,0,1,0,0,1,,,,,,,
Ryan Bertrand,,,,,,,,,7,44,0,0,3,1,27,1,1,"1,229",38.41,43,32,47,62%,0,4,37,28,11,0,118,149,147,11,59,58,4,122,30%,2,1,0,1,0,0,,,,,,,
Alfie Jones,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,
Matt Targett,,,,,,,,,4,40,0,0,4,0,27,1,2,947,33.82,49,28,52,56%,0,1,56,68,31,0,122,113,121,8,37,38,8,81,27%,3,0,0,0,1,0,,,,,,,
Jan Bednarek,,,,,,,,,7,57,3,1,4,0,33,1,1,"1,537",45.21,85,34,65,58%,1,1,77,193,90,0,161,204,109,2,127,47,1,1,0%,0,0,0,1,0,0,,,,,,,
Yan Valery,,,,,,,,,0,20,2,0,1,0,7,0,0,222,20.18,6,11,20,35%,0,1,13,29,10,0,45,62,64,14,20,17,2,11,18%,1,3,0,0,0,0,,,,,,,
Kayne Ramsay,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,
Mohamed Elyounoussi,,,,,,,,,,,0,,0,0,0,0,0,0,0.00,0,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.00,0,0,0,0,0%,0
Oriol Romeu,,,,,,,,,,,0,,5,0,39,0,0,"1,076",35.87,46,30,55,64%,,5,34,30,11,,152,126,130,13,42,39,4,6,50%,1,1,0,0,0,0,0.00,0,0,8,0,0%,0
James Ward-Prowse,,,,,,,,,,,0,,9,0,57,5,3,"1,666",43.84,81,38,92,52%,,14,60,71,38,,249,218,202,14,73,65,7,267,22%,2,0,0,4,1,1,0.13,1,2,57,26,46%,5
Stuart Armstrong,,,,,,,,,,,0,,4,0,25,5,3,579,19.30,12,30,32,59%,,11,11,22,9,,106,95,131,30,14,30,2,23,22%,2,4,0,3,2,0,0.17,0,0,46,20,43%,1
Mario Lemina,,,,,,,,,,,0,,0,0,0,0,0,0,0.00,0,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.00,0,0,0,0,0%,0
Nathan Redmond,,,,,,,,,,,0,,2,0,23,4,4,"1,021",31.91,38,32,49,59%,,14,16,10,1,,203,176,196,79,18,45,6,41,17%,4,5,0,3,1,2,0.13,0,0,59,21,36%,3
Pierre-Emile Højbjerg,,,,,,,,,,,0,,5,0,46,0,1,"1,823",55.24,106,33,80,61%,,10,46,49,23,,326,210,178,40,55,43,0,27,33%,4,1,0,0,0,0,0.00,0,0,46,11,24%,5
Josh Sims,,,,,,,,,,,0,,0,0,0,0,0,0,0.00,0,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.00,0,0,0,0,0%,0
Tyreke Johnson,,,,,,,,,,,0,,0,0,0,0,0,0,0.00,0,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.00,0,0,0,0,0%,0
Callum Slattery,,,,,,,,,,,0,,0,0,0,0,0,0,0.00,0,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.00,0,0,0,0,0%,0
Shane Long,,,,,,,,,,,,,0,0,32,2,2,381,14.65,,26,19,,,5,4,16,13,,,,,,,,2,19,,,12,1,0,1,2,0.08,0,0,33,14,42%,6
Danny Ings,,,,,,,,,,,,,3,0,36,22,2,643,16.92,,38,42,,,27,9,24,16,,,,,,,,2,29,,,12,0,13,8,6,0.58,1,0,93,38,41%,8
Charlie Austin,,,,,,,,,,,,,0,0,0,0,0,0,0.00,,0,0,,,0,0,0,0,,,,,,,,0,0,,,0,0,0,0,0,0.00,0,0,0,0,0%,0
