,Saves   ,Penalties saved   ,Punches   ,High Claims   ,Catches   ,Sweeper clearances   ,Throw outs   ,Goal Kicks   ,Clean sheets   ,Goals conceded   ,Errors leading to goal   ,Own goals   ,Yellow cards   ,Red cards   ,Fouls   ,Goals   ,Assists   ,Passes   ,Passes per match   ,Accurate long balls   ,Appearances,Tackles   ,Tackle success %   ,Last man tackles   ,Blocked shots   ,Interceptions   ,Clearances   ,Headed Clearance   ,Clearances off line   ,Recoveries   ,Duels won   ,Duels lost   ,Successful 50/50s   ,Aerial battles won   ,Aerial battles lost   ,Big chances created   ,Crosses   ,Cross accuracy %   ,Through balls   ,Offsides   ,Headed goals   ,Goals with right foot   ,Goals with left foot   ,Hit woodwork   ,Goals per match   ,Penalties scored   ,Freekicks scored   ,Shots   ,Shots on target   ,Shooting accuracy %   ,Big chances missed   
Heurelho Gomes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Foster,117,1,13,25,10,20,118,295,9,64,2,0,1,0,2,0,0,"1,089",28.66,323,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pontus Dahlberg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daryl Janmaat,,,,,,,,,3,5,0,1,1,0,5,0,1,267,33.38,8,8,14,71%,0,2,7,19,5,0,38,22,17,5,2,1,1,24,29%,0,0,0,0,0,0,,,,,,,
Miguel Britos,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,
Sebastian Prödl,,,,,,,,,0,0,0,0,0,0,1,0,0,11,11.00,0,1,0,0%,0,0,0,4,3,0,3,3,2,0,3,1,0,0,0%,0,0,0,0,0,0,,,,,,,
Adrian Mariappa,,,,,,,,,3,33,0,1,4,1,20,0,0,462,23.10,25,20,20,70%,0,1,11,68,35,0,49,70,72,1,42,30,0,22,23%,0,2,0,0,0,0,,,,,,,
Adam Masina,,,,,,,,,4,31,0,0,3,0,26,1,0,697,26.81,46,26,38,58%,0,2,28,59,31,2,99,126,101,9,68,33,0,69,20%,1,2,0,0,1,0,,,,,,,
Craig Cathcart,,,,,,,,,8,37,0,0,7,0,13,0,0,914,31.52,66,29,41,63%,0,1,25,133,62,1,128,114,83,4,67,53,0,1,100%,1,0,0,0,0,0,,,,,,,
Kiko Femenía,,,,,,,,,4,46,0,0,5,0,26,0,0,953,34.04,37,28,68,56%,0,1,36,46,17,0,150,112,100,19,13,13,1,69,29%,0,1,0,0,0,0,,,,,,,
Marc Navarro,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,
José Holebas,,,,,,,,,1,28,0,0,5,0,18,0,0,414,29.57,14,14,26,58%,0,1,3,29,19,0,44,74,72,7,36,21,0,71,24%,0,0,0,0,0,0,,,,,,,
Christian Kabasele,,,,,,,,,6,34,0,0,1,2,22,0,2,670,24.81,59,27,37,65%,0,5,36,124,58,0,96,121,90,9,62,49,1,0,0%,0,0,0,0,0,0,,,,,,,
