,Saves   ,Penalties saved   ,Punches   ,High Claims   ,Catches   ,Sweeper clearances   ,Throw outs   ,Goal Kicks   ,Clean sheets   ,Goals conceded   ,Errors leading to goal   ,Own goals   ,Yellow cards   ,Red cards   ,Fouls   ,Goals   ,Assists   ,Passes   ,Passes per match   ,Accurate long balls   ,Appearances,Tackles   ,Tackle success %   ,Last man tackles   ,Blocked shots   ,Interceptions   ,Clearances   ,Headed Clearance   ,Clearances off line   ,Recoveries   ,Duels won   ,Duels lost   ,Successful 50/50s   ,Aerial battles won   ,Aerial battles lost   ,Big chances created   ,Crosses   ,Cross accuracy %   ,Through balls   ,Offsides   ,Headed goals   ,Goals with right foot   ,Goals with left foot   ,Hit woodwork   ,Goals per match   ,Penalties scored   ,Freekicks scored   ,Shots   ,Shots on target   ,Shooting accuracy %   ,Big chances missed   
Rui Patrício,91,2,5,19,7,3,127,283,13,40,2,0,0,0,0,0,0,734,19.32,281,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Ruddy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Will Norris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matt Doherty,,,,,,,,,12,31,0,0,1,0,28,4,3,"1,476",41.00,47,36,55,53%,1,9,40,47,30,0,160,233,169,28,133,97,2,45,16%,1,3,1,0,3,1,,,,,,,
Ryan Bennett,,,,,,,,,2,17,0,0,2,0,7,0,0,433,27.06,23,16,9,67%,0,0,16,36,17,0,54,38,38,0,28,24,0,6,33%,0,0,0,0,0,0,,,,,,,
Willy Boly,,,,,,,,,12,15,0,0,1,1,24,0,1,984,44.73,39,22,57,58%,0,2,39,103,62,0,117,160,75,9,87,29,2,2,0%,0,1,0,0,0,0,,,,,,,
Conor Coady,,,,,,,,,13,40,2,0,5,0,17,0,0,"1,849",48.66,286,38,36,64%,3,0,28,117,65,0,244,80,56,4,33,24,1,0,0%,4,0,0,0,0,0,,,,,,,
Jonny,,,,,,,,,9,35,1,0,4,0,34,2,2,"1,087",31.06,20,35,91,60%,0,7,53,29,12,0,158,186,211,32,35,51,1,54,17%,1,2,0,2,0,0,,,,,,,
Rúben Vinagre,,,,,,,,,1,6,0,0,1,0,7,0,0,242,15.13,6,16,23,57%,0,1,11,15,5,0,45,58,58,20,7,10,2,30,30%,0,0,0,0,0,0,,,,,,,
Cameron John,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,
Maximilian Kilman,,,,,,,,,0,2,0,0,0,0,2,0,0,101,33.67,2,3,4,50%,0,0,4,7,3,0,9,17,11,1,12,10,0,0,0%,0,0,0,0,0,0,,,,,,,
Rúben Neves,,,,,,,,,,,0,,9,0,29,2,2,"2,023",53.24,222,38,62,53%,,23,56,31,12,,303,128,120,22,29,27,3,34,24%,8,0,0,2,0,2,0.05,0,0,61,10,16%,0
Morgan Gibbs-White,,,,,,,,,,,0,,0,0,2,0,0,79,11.29,2,7,0,0%,,0,2,0,0,,6,6,6,1,4,2,0,2,0%,1,0,0,0,0,0,0.00,0,0,2,0,0%,0
Diogo Jota,,,,,,,,,,,,,4,0,42,7,1,840,24.71,,34,28,,,23,9,9,5,,,,,,,,3,38,,,3,0,4,3,1,0.21,0,0,69,26,38%,12
Ryan Giles,,,,,,,,,,,0,,0,0,0,0,0,0,0.00,0,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.00,0,0,0,0,0%,0
Elliot Watt,,,,,,,,,,,0,,0,0,0,0,0,0,0.00,0,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.00,0,0,0,0,0%,0
Pote,,,,,,,,,,,0,,0,0,0,0,0,0,0.00,0,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.00,0,0,0,0,0%,0
Romain Saïss,,,,,,,,,,,0,,10,1,43,2,1,"1,628",49.33,134,33,55,69%,,5,55,121,66,,185,205,132,7,120,68,2,9,11%,1,2,1,0,1,0,0.06,0,0,24,8,33%,5
João Moutinho,,,,,,,,,,,0,,7,0,40,1,6,"1,839",48.39,152,38,93,54%,,5,50,17,6,,248,152,183,15,21,26,9,221,30%,5,3,0,1,0,0,0.03,0,1,22,6,27%,0
Leander Dendoncker,,,,,,,,,,,1,,5,0,31,4,0,"1,323",34.82,66,38,68,46%,,5,38,61,42,,152,187,167,16,96,84,1,8,38%,0,0,1,2,1,0,0.11,0,0,20,5,25%,1
Ivan Cavaleiro,,,,,,,,,,,,,0,0,0,0,0,0,0.00,,0,0,,,0,0,0,0,,,,,,,,0,0,,,0,0,0,0,0,0.00,0,0,0,0,0%,0
